Starting Genetic Algorithm for 8-Queens
Population Size: 400, Mutation Rate: 0.09155965742943262, Max Generations: 4100

Generation 1: Best Fitness = 25, Best Board = [3, 7, 2, 1, 6, 0, 6, 4]
Generation 2: Best Fitness = 26, Best Board = [7, 2, 6, 3, 5, 0, 4, 1]
Generation 3: Best Fitness = 25, Best Board = [6, 6, 1, 1, 5, 0, 2, 3]
Generation 4: Best Fitness = 25, Best Board = [3, 6, 2, 3, 5, 0, 5, 1]
Generation 5: Best Fitness = 26, Best Board = [6, 1, 7, 4, 0, 3, 5, 3]
Generation 6: Best Fitness = 26, Best Board = [4, 6, 1, 3, 1, 7, 2, 0]
Generation 7: Best Fitness = 27, Best Board = [3, 6, 2, 2, 5, 7, 0, 4]
Generation 8: Best Fitness = 26, Best Board = [3, 1, 4, 7, 5, 0, 5, 0]
Generation 9: Best Fitness = 25, Best Board = [2, 5, 1, 6, 0, 0, 6, 3]
Generation 10: Best Fitness = 26, Best Board = [4, 0, 5, 1, 6, 1, 3, 7]
Generation 11: Best Fitness = 26, Best Board = [7, 5, 3, 1, 6, 0, 6, 4]
Generation 12: Best Fitness = 26, Best Board = [4, 0, 5, 1, 6, 1, 3, 7]
Generation 13: Best Fitness = 25, Best Board = [3, 6, 2, 7, 5, 6, 0, 5]
Generation 14: Best Fitness = 26, Best Board = [1, 6, 4, 3, 0, 7, 5, 2]
Generation 15: Best Fitness = 26, Best Board = [7, 5, 2, 6, 1, 7, 0, 3]
Generation 16: Best Fitness = 26, Best Board = [1, 6, 4, 7, 7, 0, 3, 6]
Generation 17: Best Fitness = 26, Best Board = [3, 6, 0, 7, 5, 7, 0, 4]
Generation 18: Best Fitness = 25, Best Board = [3, 6, 2, 0, 5, 7, 4, 3]
Generation 19: Best Fitness = 26, Best Board = [4, 6, 1, 6, 5, 7, 0, 3]
Generation 20: Best Fitness = 26, Best Board = [3, 5, 0, 7, 1, 6, 2, 2]
Generation 21: Best Fitness = 25, Best Board = [1, 6, 1, 2, 0, 7, 4, 2]
Generation 22: Best Fitness = 26, Best Board = [3, 6, 2, 7, 5, 0, 0, 1]
Generation 23: Best Fitness = 26, Best Board = [5, 4, 1, 7, 0, 6, 3, 0]
Generation 24: Best Fitness = 25, Best Board = [6, 0, 6, 4, 1, 7, 3, 5]
Generation 25: Best Fitness = 26, Best Board = [1, 3, 0, 5, 7, 2, 6, 2]
Generation 26: Best Fitness = 26, Best Board = [1, 6, 2, 2, 7, 7, 0, 3]
Generation 27: Best Fitness = 26, Best Board = [5, 3, 0, 4, 6, 1, 6, 2]
Generation 28: Best Fitness = 26, Best Board = [1, 1, 6, 2, 3, 7, 0, 4]
Generation 29: Best Fitness = 26, Best Board = [3, 6, 0, 5, 7, 1, 6, 2]
Generation 30: Best Fitness = 26, Best Board = [7, 3, 0, 5, 1, 6, 4, 2]
Generation 31: Best Fitness = 26, Best Board = [5, 1, 1, 7, 0, 6, 3, 0]
Generation 32: Best Fitness = 25, Best Board = [7, 2, 6, 3, 1, 7, 0, 4]
Generation 33: Best Fitness = 26, Best Board = [4, 1, 7, 5, 7, 0, 3, 6]
Generation 34: Best Fitness = 26, Best Board = [5, 1, 4, 7, 0, 2, 6, 2]
Generation 35: Best Fitness = 26, Best Board = [1, 5, 1, 5, 7, 2, 6, 3]
Generation 36: Best Fitness = 26, Best Board = [7, 1, 1, 7, 0, 6, 3, 5]
Generation 37: Best Fitness = 26, Best Board = [4, 2, 0, 3, 1, 7, 3, 6]
Generation 38: Best Fitness = 26, Best Board = [4, 2, 7, 5, 3, 0, 0, 3]
Generation 39: Best Fitness = 26, Best Board = [1, 1, 7, 5, 7, 2, 0, 3]
Generation 40: Best Fitness = 25, Best Board = [0, 4, 7, 5, 0, 6, 1, 2]
Generation 41: Best Fitness = 26, Best Board = [1, 6, 2, 5, 7, 0, 6, 3]
Generation 42: Best Fitness = 26, Best Board = [7, 4, 1, 5, 1, 6, 0, 3]
Generation 43: Best Fitness = 26, Best Board = [4, 2, 1, 5, 7, 2, 6, 3]
Generation 44: Best Fitness = 26, Best Board = [7, 4, 0, 5, 1, 6, 6, 3]
Generation 45: Best Fitness = 26, Best Board = [6, 4, 0, 5, 7, 2, 6, 3]
Generation 46: Best Fitness = 25, Best Board = [1, 4, 0, 5, 1, 2, 6, 3]
Generation 47: Best Fitness = 25, Best Board = [3, 4, 0, 7, 1, 6, 6, 2]
Generation 48: Best Fitness = 26, Best Board = [4, 6, 0, 5, 7, 2, 0, 3]
Generation 49: Best Fitness = 26, Best Board = [4, 1, 3, 5, 7, 2, 6, 0]
Generation 50: Best Fitness = 26, Best Board = [4, 3, 7, 2, 1, 6, 0, 5]
Generation 51: Best Fitness = 26, Best Board = [7, 5, 1, 3, 1, 6, 4, 2]
Generation 52: Best Fitness = 26, Best Board = [0, 6, 1, 5, 7, 2, 4, 2]
Generation 53: Best Fitness = 26, Best Board = [4, 4, 1, 5, 3, 6, 0, 2]
Generation 54: Best Fitness = 26, Best Board = [7, 4, 0, 5, 1, 6, 6, 2]
Generation 55: Best Fitness = 26, Best Board = [4, 1, 1, 5, 7, 6, 0, 2]
Generation 56: Best Fitness = 26, Best Board = [1, 5, 1, 5, 7, 2, 6, 3]
Generation 57: Best Fitness = 27, Best Board = [7, 4, 1, 5, 2, 6, 3, 3]
Generation 58: Best Fitness = 26, Best Board = [1, 4, 0, 5, 3, 6, 0, 2]
Generation 59: Best Fitness = 26, Best Board = [3, 0, 7, 5, 1, 6, 6, 0]
Generation 60: Best Fitness = 26, Best Board = [7, 1, 7, 5, 1, 6, 0, 3]
Generation 61: Best Fitness = 26, Best Board = [4, 1, 7, 5, 1, 6, 0, 0]
Generation 62: Best Fitness = 26, Best Board = [4, 6, 1, 5, 7, 2, 6, 3]
Generation 63: Best Fitness = 26, Best Board = [6, 1, 7, 5, 7, 2, 4, 6]
Generation 64: Best Fitness = 26, Best Board = [1, 5, 2, 5, 7, 4, 0, 3]
Generation 65: Best Fitness = 26, Best Board = [1, 3, 0, 5, 7, 2, 6, 2]
Generation 66: Best Fitness = 26, Best Board = [1, 3, 0, 5, 7, 2, 6, 2]
Generation 67: Best Fitness = 27, Best Board = [1, 4, 0, 5, 7, 2, 6, 3]
Generation 68: Best Fitness = 27, Best Board = [5, 3, 0, 7, 7, 2, 6, 1]
Generation 69: Best Fitness = 26, Best Board = [5, 0, 0, 5, 7, 2, 6, 3]
Generation 70: Best Fitness = 26, Best Board = [5, 1, 6, 5, 7, 2, 0, 3]
Generation 71: Best Fitness = 26, Best Board = [5, 2, 0, 5, 7, 2, 6, 3]
Generation 72: Best Fitness = 27, Best Board = [4, 1, 7, 5, 7, 2, 0, 3]
Generation 73: Best Fitness = 26, Best Board = [6, 1, 7, 5, 7, 2, 4, 3]
Generation 74: Best Fitness = 26, Best Board = [6, 1, 7, 5, 7, 2, 4, 0]
Generation 75: Best Fitness = 26, Best Board = [6, 4, 0, 5, 5, 2, 6, 3]
Generation 76: Best Fitness = 27, Best Board = [1, 5, 0, 5, 7, 2, 6, 3]
Generation 77: Best Fitness = 27, Best Board = [7, 1, 1, 5, 0, 6, 4, 2]
Generation 78: Best Fitness = 26, Best Board = [4, 0, 0, 5, 7, 2, 6, 2]
Generation 79: Best Fitness = 26, Best Board = [5, 1, 4, 0, 7, 4, 6, 3]
Generation 80: Best Fitness = 27, Best Board = [4, 0, 1, 5, 7, 2, 6, 3]
Generation 81: Best Fitness = 26, Best Board = [6, 3, 0, 2, 7, 2, 7, 1]
Generation 82: Best Fitness = 26, Best Board = [6, 1, 1, 5, 7, 2, 0, 3]
Generation 83: Best Fitness = 27, Best Board = [4, 1, 1, 5, 7, 2, 0, 3]
Generation 84: Best Fitness = 26, Best Board = [1, 1, 6, 5, 7, 2, 0, 3]
Generation 85: Best Fitness = 27, Best Board = [1, 5, 0, 5, 7, 2, 6, 3]
Generation 86: Best Fitness = 27, Best Board = [1, 5, 0, 5, 7, 2, 6, 3]
Generation 87: Best Fitness = 26, Best Board = [4, 4, 0, 5, 7, 2, 6, 3]
Generation 88: Best Fitness = 26, Best Board = [1, 6, 0, 5, 7, 4, 3, 7]
Generation 89: Best Fitness = 26, Best Board = [4, 1, 1, 5, 7, 6, 0, 3]
Generation 90: Best Fitness = 26, Best Board = [4, 6, 1, 5, 7, 6, 0, 3]
Generation 91: Best Fitness = 27, Best Board = [5, 1, 6, 1, 7, 2, 0, 3]
Generation 92: Best Fitness = 27, Best Board = [5, 1, 6, 1, 7, 2, 0, 3]
Generation 93: Best Fitness = 27, Best Board = [5, 1, 6, 1, 7, 2, 0, 3]
Generation 94: Best Fitness = 27, Best Board = [1, 6, 0, 5, 7, 4, 0, 3]
Generation 95: Best Fitness = 26, Best Board = [1, 6, 0, 5, 7, 2, 0, 3]
Generation 96: Best Fitness = 27, Best Board = [1, 4, 0, 5, 7, 2, 6, 3]
Generation 97: Best Fitness = 27, Best Board = [1, 5, 0, 5, 7, 4, 6, 3]
Generation 98: Best Fitness = 27, Best Board = [1, 6, 0, 5, 7, 4, 6, 3]
Generation 99: Best Fitness = 27, Best Board = [4, 1, 1, 5, 7, 2, 0, 3]
Generation 100: Best Fitness = 27, Best Board = [4, 1, 1, 5, 7, 2, 0, 3]
Generation 101: Best Fitness = 27, Best Board = [5, 1, 6, 4, 7, 2, 0, 3]
Generation 102: Best Fitness = 27, Best Board = [4, 1, 1, 5, 7, 2, 0, 3]
Generation 103: Best Fitness = 26, Best Board = [1, 4, 1, 5, 7, 2, 0, 3]
Generation 104: Best Fitness = 27, Best Board = [1, 4, 0, 5, 7, 2, 6, 3]
Generation 105: Best Fitness = 26, Best Board = [6, 4, 1, 5, 7, 2, 0, 3]
Generation 106: Best Fitness = 26, Best Board = [4, 1, 1, 5, 7, 0, 0, 3]
Generation 107: Best Fitness = 26, Best Board = [4, 1, 1, 5, 7, 0, 6, 3]
Generation 108: Best Fitness = 26, Best Board = [4, 1, 0, 5, 7, 2, 0, 3]
Generation 109: Best Fitness = 27, Best Board = [4, 1, 1, 5, 7, 2, 0, 3]
Generation 110: Best Fitness = 27, Best Board = [5, 1, 6, 4, 7, 7, 0, 3]
Generation 111: Best Fitness = 27, Best Board = [1, 5, 0, 5, 7, 2, 6, 3]
Generation 112: Best Fitness = 28, Best Board = [6, 2, 0, 5, 7, 4, 1, 3]

Solution Found!
Generations: 112, Elapsed Time: 2.47 seconds
Solution: [6, 2, 0, 5, 7, 4, 1, 3]
